learning_rate,epochs,hidden_layers,activation,optimizer,validation_loss,validation_accuracy,f1_score,precision,recall
0.001,200,"[32, 32]",linear,batch,1.5766008030768224,0.39473684210526316,0.19360914419615338,0.20526960784313728,0.21270404157981648
0.01,200,"[32, 32]",linear,mini-batch,0.9321665505900006,0.631578947368421,0.3418656056587091,0.36217964464095637,0.33926531496169565
0.01,200,"[32, 32]",linear,sgd,0.9376955359988614,0.5964912280701754,0.29213032581453635,0.33566410170625627,0.29909314853414903
0.01,200,"[32, 32]",linear,batch,0.9787984266094968,0.5964912280701754,0.3194002026342452,0.34426705370101596,0.31728431823718906
0.001,200,"[32, 64, 64, 32]",linear,mini-batch,0.9676074667734356,0.6228070175438597,0.3436734890540089,0.34571428571428575,0.3456917787823827
0.001,200,"[32, 64, 64, 32]",linear,sgd,0.951031080040233,0.5964912280701754,0.33169858712715855,0.36052730696798496,0.3285888308383639
0.001,200,"[32, 64, 64, 32]",linear,batch,1.2452640431211228,0.5614035087719298,0.2810198935561595,0.2951251646903821,0.2708823980581648
0.01,200,"[32, 64, 64, 32]",linear,mini-batch,0.9450086495751746,0.6140350877192983,0.3386877828054299,0.3639497010925582,0.3350315367748572
0.01,200,"[32, 64, 64, 32]",linear,sgd,0.9331094620565945,0.6228070175438597,0.3387745349035671,0.3538461538461538,0.33770065780569014
0.01,200,"[32, 64, 64, 32]",linear,batch,0.9594977651653772,0.5964912280701754,0.31628349632019354,0.33885714285714286,0.3150753904875342
